Via,Nombre,Camion_T2,Camion_T3,Camion_T4,Camion_T5,Camion_T6,Camion_T7,Camion_T8,Camion_T9
QUERETARO-IRAPUATO,VILLAGRAN,72.00,72.00,143.00,143.00,205.00,205.00,205.00,205.00
QUERETARO-IRAPUATO,CERRO GORDO,122.00,122.00,212.00,212.00,312.00,312.00,312.00,312.00
QUERETARO-IRAPUATO,CERRO GORDO,101.00,101.00,179.00,179.00,275.00,275.00,275.00,275.00
QUERETARO-IRAPUATO,CERRO GORDO,39.00,39.00,95.00,95.00,109.00,109.00,109.00,109.00
QUERETARO-IRAPUATO,SALAMANCA,211.00,211.00,389.00,389.00,571.00,571.00,571.00,571.00
QUERETARO-IRAPUATO,SALAMANCA,155.00,155.00,301.00,301.00,406.00,406.00,406.00,406.00
QUERETARO-IRAPUATO,SALAMANCA,72.00,72.00,116.00,116.00,171.00,171.00,171.00,171.00
LIBRAMIENTO NORPONIENTE DE IRAPUATO,ARANDAS,122.00,122.00,122.00,182.00,182.00,246.00,246.00,246.00
LIBRAMIENTO NORPONIENTE DE IRAPUATO,YOSTIRO,62.00,62.00,62.00,95.00,95.00,124.00,124.00,124.00
SALAMANCA-LEON,MENDOZA,136.00,136.00,136.00,185.00,185.00,247.00,247.00,247.00
SALAMANCA-LEON,PUERTO INTERIOR,207.00,207.00,207.00,282.00,282.00,376.00,376.00,376.00
LIBRAMIENTO SILAO,SILAO,69.00,69.00,116.00,116.00,183.00,183.00,183.00,183.00
GUANAJUATO-SILAO,CERVERA,69.00,69.00,116.00,116.00,183.00,183.00,183.00,183.00
LIBRAMIENTO SILAO,AGUAS BUENAS,52.00,52.00,52.00,71.00,71.00,84.00,84.00,84.00
LEÓN-AGUASCALIENTES,LEON,291.00,291.00,291.00,411.00,411.00,488.00,488.00,488.00
LEÓN-AGUASCALIENTES,LEON,108.00,108.00,108.00,157.00,157.00,186.00,186.00,186.00
LEÓN-AGUASCALIENTES,LEON,87.00,87.00,87.00,131.00,131.00,163.00,163.00,163.00
LEÓN-AGUASCALIENTES,LEON,75.00,75.00,75.00,107.00,107.00,125.00,125.00,125.00
LEÓN-AGUASCALIENTES,LEON,72.00,72.00,72.00,105.00,105.00,127.00,127.00,127.00
LEÓN-AGUASCALIENTES,LEON,58.00,58.00,58.00,85.00,85.00,104.00,104.00,104.00
LEÓN-AGUASCALIENTES,LEON,33.00,33.00,33.00,48.00,48.00,56.00,56.00,56.00
LEÓN-AGUASCALIENTES,ENCARNACIÓN DE DIAZ,291.00,291.00,291.00,417.00,417.00,494.00,494.00,494.00
LEÓN-AGUASCALIENTES,ENCARNACIÓN DE DIAZ,127.00,127.00,127.00,178.00,178.00,204.00,204.00,204.00
LIBRAMIENTO AGUASCALIENTES,CHICHIMECO,155.00,155.00,155.00,232.00,232.00,310.00,310.00,310.00
LIBRAMIENTO AGUASCALIENTES,CHICHIMECO,85.00,85.00,85.00,127.00,127.00,169.00,169.00,169.00
LIBRAMIENTO AGUASCALIENTES,CHICHIMECO,70.00,70.00,70.00,105.00,105.00,141.00,141.00,141.00
,NOMBRE,T2,T3,T4,T5,T6,T7,T8,T9
CD. CUAUHTEMOC-OSIRIS,ZACATECAS,64.00,64.00,89.00,89.00,115.00,115.00,115.00,115.00
ZAPOTLANEJO-LAGOS DE MORENO,JALOSTOTITLAN,329.00,329.00,329.00,502.00,502.00,670.00,670.00,670.00
ZAPOTLANEJO-LAGOS DE MORENO,JALOSTOTITLAN,182.00,182.00,182.00,309.00,309.00,393.00,393.00,393.00
ZAPOTLANEJO-LAGOS DE MORENO,JALOSTOTITLAN,147.00,147.00,147.00,193.00,193.00,277.00,277.00,277.00
ZAPOTLANEJO-LAGOS DE MORENO,JALOSTOTITLAN,110.00,110.00,110.00,175.00,175.00,221.00,221.00,221.00
ZAPOTLANEJO-LAGOS DE MORENO,JALOSTOTITLAN,52.00,52.00,52.00,85.00,85.00,98.00,98.00,98.00
ZAPOTLANEJO-LAGOS DE MORENO,TEPATITLAN,368.00,368.00,368.00,638.00,638.00,806.00,806.00,806.00
ZAPOTLANEJO-LAGOS DE MORENO,TEPATITLAN,304.00,304.00,304.00,556.00,556.00,703.00,703.00,703.00
ZAPOTLANEJO-LAGOS DE MORENO,TEPATITLAN,340.00,340.00,340.00,517.00,517.00,628.00,628.00,628.00
ZAPOTLANEJO-LAGOS DE MORENO,TEPATITLAN,263.00,263.00,263.00,422.00,422.00,516.00,516.00,516.00
ZAPOTLANEJO-LAGOS DE MORENO,TEPATITLAN,229.00,229.00,229.00,425.00,425.00,540.00,540.00,540.00
ZAPOTLANEJO-LAGOS DE MORENO,TEPATITLAN,124.00,124.00,124.00,209.00,209.00,250.00,250.00,250.00
ZAPOTLANEJO-LAGOS DE MORENO,TEPATITLAN,199.00,199.00,199.00,340.00,340.00,413.00,413.00,413.00
ZAPOTLANEJO-LAGOS DE MORENO,TEPATITLAN,158.00,158.00,158.00,206.00,206.00,226.00,226.00,226.00
ZAPOTLANEJO-LAGOS DE MORENO,TEPATITLAN,94.00,94.00,94.00,124.00,124.00,123.00,123.00,123.00
ZAPOTLANEJO-LAGOS DE MORENO,TEPATITLAN,64.00,64.00,64.00,82.00,82.00,103.00,103.00,103.00
LAGOS DE MORENO-SAN LUIS POTOSÍ,LAGOS DE MORENO,273.00,273.00,273.00,403.00,403.00,563.00,563.00,563.00
VENTURA-EL PEYOTE,VENTURA-EL PEYOTE,202.00,202.00,202.00,312.00,312.00,485.00,485.00,485.00
LIBRAMIENTO ARCO NORTE SAN LUIS POTOS,LIB. ARCO NORTE S.L.P.,163.00,163.00,163.00,266.00,266.00,416.00,416.00,416.00
LIBRAMIENTO PONIENTE SAN LUIS POTOSI,LIB. PTE. S.L.P.,140.00,140.00,140.00,227.00,227.00,351.00,351.00,351.00
LIBRAMIENTO PONIENTE SAN LUIS POTOSI,LIB. PTE. S.L.P.,96.00,96.00,96.00,156.00,156.00,239.00,239.00,239.00
LIBRAMIENTO PONIENTE SAN LUIS POTOSI,LIB. PTE. S.L.P.,48.00,48.00,48.00,77.00,77.00,119.00,119.00,119.00
LIBRAMIENTO ORIENTE SAN LUIS POTOSI,LIB. OTE. S.L.P.,177.00,177.00,177.00,285.00,285.00,444.00,444.00,444.00
